timestamp,title,brand,initial_price,final_price,currency,availability,is_available,rating,discount,seller_id,asin,categories,date,year,month,day,discount_pct,is_discounted,is_price_dropped,is_same_price,categories_array,main_category,sub_category
2024-04-20,"Wobble Wag Giggle Ball 2 Pack- Interactive Dog Toy, Fun Giggle Sounds When Rolled or Shaken, Pets Know Best, 1 Original & 1 Glow in The Dark Ball",Allstar Innovations,24.99,24.99,USD,In Stock,True,4.1,-15%,ATVPDKIKX0DER,B0BX7C1PKZ,"[""Pet Supplies"",""Dogs"",""Toys"",""Balls""]",2024-04-20,2024,4,20,0.0,False,False,True,"['""Pet Supplies""', '""Dogs""', '""Toys""', '""Balls""']",Pet Supplies,Dogs
2024-04-23,"Wireless Earbud, 2023 Sport Wireless Bluetooth 5.3 Earbud with HiFi Stereo, 75H Wireless Headphones with Noise Cancelling Mic, IP7 Waterproof Bluetooth Earphones, LED Display, Button Control, White",Ltinist,49.99,22.99,USD,In Stock,True,4.6,-54%,A1RCFO8HDTXYVX,B0CHYFK238,"[""Electronics"",""Headphones, Earbuds & Accessories"",""Headphones & Earbuds"",""Earbud Headphones""]",2024-04-23,2024,4,23,54.01080216043209,True,True,False,"['""Electronics""', '""Headphones', ' Earbuds & Accessories""', '""Headphones & Earbuds""', '""Earbud Headphones""']",Electronics,Headphones
2023-08-09,Under Armour Men's New Freedom Flag T-Shirt,Under Armour,30.0,19.3,USD,In Stock,,4.7,36,ATVPDKIKX0DER,B09WD9NVG5,"[""Clothing, Shoes & Jewelry"",""Men"",""Clothing"",""Active"",""Active Shirts & Tees"",""T-Shirts""]",2023-08-09,2023,8,9,35.666666666666664,True,True,False,"['""Clothing', ' Shoes & Jewelry""', '""Men""', '""Clothing""', '""Active""', '""Active Shirts & Tees""', '""T-Shirts""']",Clothing,Shoes & Jewelry
2023-08-02,LIGHT FLIGHT Clear Backpack with Reinforced Padded Straps Heavy Duty PVC Transparent Backpack See Through Bookbags,LIGHT FLIGHT,21.99,21.99,USD,In Stock,,4.5,31,A3182VHAYXSU6F,B09DKKWRJT,"[""Sports & Outdoors"",""Fan Shop"",""Bags, Packs & Accessories"",""Backpacks""]",2023-08-02,2023,8,2,0.0,False,False,True,"['""Sports & Outdoors""', '""Fan Shop""', '""Bags', ' Packs & Accessories""', '""Backpacks""']",Sports & Outdoors,Fan Shop
2024-01-25,"Arteza Small Sketch Book 5.5x8.5 Inches, Pack of 3 Sketch Pads, 100 Sheets Each, Spiral-Bound 68-lb Drawing Pad Paper, Art Supplies for Graphite and Colored Pencils, Charcoal, and Soft Pastels",ARTEZA,33.6,26.99,USD,Only 20 left in stock (more on the way).,,4.8,-20%,ATVPDKIKX0DER,B073SPYFMN,"[""Arts, Crafts & Sewing"",""Painting, Drawing & Art Supplies"",""Art Paper"",""Sketchbooks & Notebooks""]",2024-01-25,2024,1,25,19.672619047619055,True,True,False,"['""Arts', ' Crafts & Sewing""', '""Painting', ' Drawing & Art Supplies""', '""Art Paper""', '""Sketchbooks & Notebooks""']",Arts,Crafts & Sewing
2023-08-14,Kobo Libra 2 | eReader | 7” Glare Free Touchscreen | Waterproof | Adjustable Brightness and Color Temperature | Blue Light Reduction | eBooks | WiFi | 32GB of Storage | Carta E Ink Technology | Black,Kobo,189.99,189.99,USD,In Stock,,4.4,-16%,A2WTVCOLVN15GP,B09HW4QC3Y,"[""Electronics"",""eBook Readers & Accessories"",""eBook Readers""]",2023-08-14,2023,8,14,0.0,False,False,True,"['""Electronics""', '""eBook Readers & Accessories""', '""eBook Readers""']",Electronics,eBook Readers & Accessories
2023-08-23,Howard Leight by Honeywell Leightning L2F Folding Slim Shooting Earmuff (R-01525) Black/Gray Large,"Honeywell Safety Products, USA",34.11,29.61,USD,In Stock,,4.6,-13%,ATVPDKIKX0DER,B001D8CRB8,"[""Tools & Home Improvement"",""Safety & Security"",""Personal Protective Equipment"",""Hearing Protection"",""Safety Earmuffs""]",2023-08-23,2023,8,23,13.192612137203167,True,True,False,"['""Tools & Home Improvement""', '""Safety & Security""', '""Personal Protective Equipment""', '""Hearing Protection""', '""Safety Earmuffs""']",Tools & Home Improvement,Safety & Security
2024-02-19,"All-Clad D3 3-Ply Stainless Steel Large Weeknight Frying Pan 4 Quart Induction Oven Broiler Safe 600F Pots and Pans, Cookware Silver",Groupe SEB,199.99,179.95,USD,In Stock,,4.7,-10%,ATVPDKIKX0DER,B00BLA4Z4K,"[""Home & Kitchen"",""Kitchen & Dining"",""Cookware"",""Pots & Pans"",""Sauté Pans""]",2024-02-19,2024,2,19,10.020501025051262,True,True,False,"['""Home & Kitchen""', '""Kitchen & Dining""', '""Cookware""', '""Pots & Pans""', '""Sauté Pans""']",Home & Kitchen,Kitchen & Dining
2022-10-25,"Naiveer Cool Gel Memory Foam Hybrid Mattress, 10 Inch Twin Size Mattress in A Box with Pocket Springs for Cool Sleep & Pressure Relief, Medium Firm Feeling with CertiPUR-US Certified Foam",Naiveer,269.99,215.99,USD,In Stock.,,4.6,$54.00,A1JYQMWXAB6RHC,B09V6S1D5S,"[""Home & Kitchen"",""Furniture"",""Bedroom Furniture"",""Mattresses & Box Springs"",""Mattresses""]",2022-10-25,2022,10,25,20.0007407681766,True,True,False,"['""Home & Kitchen""', '""Furniture""', '""Bedroom Furniture""', '""Mattresses & Box Springs""', '""Mattresses""']",Home & Kitchen,Furniture
2024-01-16,"Stand for Steam Deck Console, Adjustable Wall Mounted and Desktop 2-in-1 Steam Base Holder with Kickstand, Desk Playstand Dock for Steam Deck,Black",Honghao,6.99,4.99,USD,Only 1 left in stock - order soon.,,4.6,-29%,A31N74NH7BCCQX,B0BMLST3SZ,"[""Video Games"",""Legacy Systems"",""Nintendo Systems"",""Nintendo 3DS & 2DS"",""Accessories""]",2024-01-16,2024,1,16,28.612303290414875,True,True,False,"['""Video Games""', '""Legacy Systems""', '""Nintendo Systems""', '""Nintendo 3DS & 2DS""', '""Accessories""']",Video Games,Legacy Systems
2023-05-29,Nordic Pure 16x25x2 MERV 8 Pleated AC Furnace Air Filters 3 Pack,Nordic Pure,32.48,26.95,USD,Available to ship in 1-2 days,,4.8,$5.53,ATVPDKIKX0DER,B005ESNEYW,"[""Tools & Home Improvement"",""Building Supplies"",""HVAC"",""Furnace Parts & Accessories"",""Furnace Filters""]",2023-05-29,2023,5,29,17.025862068965512,True,True,False,"['""Tools & Home Improvement""', '""Building Supplies""', '""HVAC""', '""Furnace Parts & Accessories""', '""Furnace Filters""']",Tools & Home Improvement,Building Supplies
2024-01-21,"Vesgantti Full Size Mattress, 10 Inch Innerspring Multilayer Hybrid Full Mattress, Ergonomic Design with Breathable Foam and Pocket Spring Mattress Full Size, Tight Top Series Medium Firm Feel",Vesgantti,249.99,199.98,USD,In Stock,,4.5,-20%,A364JY85FHTSL6,B07VDCY1HD,"[""Home & Kitchen"",""Furniture"",""Bedroom Furniture"",""Mattresses & Box Springs"",""Mattresses""]",2024-01-21,2024,1,21,20.00480019200769,True,True,False,"['""Home & Kitchen""', '""Furniture""', '""Bedroom Furniture""', '""Mattresses & Box Springs""', '""Mattresses""']",Home & Kitchen,Furniture
2023-08-23,"Bare Home Faux Fur Blanket - Ultra-Soft Luxurious - Cozy Warm Blanket for Couch, Sofa, Chair, Bed - Fuzzy Fluffy Super Soft - Decorative Bed Blanket, 60x80 inches (Oversized, Dark Grey)",Bare Home,103.99,89.99,USD,In Stock,,4.6,-13%,A3UBXJ2R9SZ9Z4,B09JDVBJ2W,"[""Home & Kitchen"",""Bedding"",""Blankets & Throws"",""Bed Blankets""]",2023-08-23,2023,8,23,13.462832964708147,True,True,False,"['""Home & Kitchen""', '""Bedding""', '""Blankets & Throws""', '""Bed Blankets""']",Home & Kitchen,Bedding
2024-03-17,Yes4All Kayak Wall Rack 400lbs 4 Adjustable Levels Kayak Storage Rack for Garage Heavy Duty Kayak Racks,Yes4All,134.99,119.99,USD,In Stock,,4.4,-11%,ATVPDKIKX0DER,B0C7BP6VR1,"[""Sports & Outdoors"",""Sports"",""Water Sports"",""Kayaking"",""Indoor Kayak Storage""]",2024-03-17,2024,3,17,11.111934217349443,True,True,False,"['""Sports & Outdoors""', '""Sports""', '""Water Sports""', '""Kayaking""', '""Indoor Kayak Storage""']",Sports & Outdoors,Sports
2024-03-17,"SOELDI Under Bed Storage with Wheels 50L*2 pack, Extra Large Under Bed Shoe Storage Containers With Sturdy Structure, Rolling Under Bed Drawers for Shoes, Clothes, Bedding (Vintage Black)",SOLEDI,42.98,31.98,USD,In Stock,,4.5,-26%,A8TC49H9K7WL6,B0C6QFMJRP,"[""Home & Kitchen"",""Storage & Organization"",""Clothing & Closet Storage"",""Under-Bed Storage""]",2024-03-17,2024,3,17,25.593299208934383,True,True,False,"['""Home & Kitchen""', '""Storage & Organization""', '""Clothing & Closet Storage""', '""Under-Bed Storage""']",Home & Kitchen,Storage & Organization
2024-04-30,HUK Kids' Icon X Hoodie Long-Sleeve Shirt with Sun Protection,Huk,50.0,37.09,USD,In Stock,True,4.7,-26%,ATVPDKIKX0DER,B09FRWLNDC,"[""Clothing, Shoes & Jewelry"",""Boys"",""Clothing"",""Active"",""Active Hoodies""]",2024-04-30,2024,4,30,25.819999999999993,True,True,False,"['""Clothing', ' Shoes & Jewelry""', '""Boys""', '""Clothing""', '""Active""', '""Active Hoodies""']",Clothing,Shoes & Jewelry
2023-08-22,Eurmax USA Rectangular Fitted Spandex Table Covers 6ft Tablecloth Wedding Event Patio Table Decorations Stretch Table Cover for 6ft Folding Table (Red),Eurmax,15.99,14.39,USD,In Stock,,4.7,-10%,A358RX1CWPYWOH,B07Q5VTN34,"[""Home & Kitchen"",""Kitchen & Dining"",""Kitchen & Table Linens"",""Tablecloths""]",2023-08-22,2023,8,22,10.00625390869293,True,True,False,"['""Home & Kitchen""', '""Kitchen & Dining""', '""Kitchen & Table Linens""', '""Tablecloths""']",Home & Kitchen,Kitchen & Dining
2023-09-11,"4 Pieces 5/8 Inch Wood Carving Chain Disc, 4 Inch 22 Teeth Saw Blade with 3 Pieces Replacement Circlets for Grinder Chain Disc Grinding Shaping Attachment Circular Chainsaw Wheel (Pink Center)",Mudder,14.99,13.99,USD,In Stock,,4.5,-7%,AIWI6D1LUBV5B,B08PYCD4XV,"[""Tools & Home Improvement"",""Power & Hand Tools"",""Power Tool Parts & Accessories"",""Saw Blades, Parts & Accessories"",""Blades"",""Circular Saw Blades""]",2023-09-11,2023,9,11,6.671114076050701,True,True,False,"['""Tools & Home Improvement""', '""Power & Hand Tools""', '""Power Tool Parts & Accessories""', '""Saw Blades', ' Parts & Accessories""', '""Blades""', '""Circular Saw Blades""']",Tools & Home Improvement,Power & Hand Tools
2023-08-19,"BDK carXS Fresh Two-Tone Carpet Floor Mats, Tribal Tattoo Design with Vinyl Trim for Car Sedan Truck SUV, Front & Rear Set of 4, Blue",BDK,23.9,23.9,USD,In Stock,,4.2,-9%,ATVPDKIKX0DER,B08DK7LP8B,"[""Automotive"",""Interior Accessories"",""Floor Mats & Cargo Liners"",""Floor Mats""]",2023-08-19,2023,8,19,0.0,False,False,True,"['""Automotive""', '""Interior Accessories""', '""Floor Mats & Cargo Liners""', '""Floor Mats""']",Automotive,Interior Accessories
2023-05-05,"RxOmega-3 by Natural Factors, Natural Support for Heart Health with DHA and EPA, Daily Dietary Supplement, 240 Softgels, 120 Count (Pack of 1)",Natural Factors,26.95,23.07,USD,In Stock,,4.8,$3.88,A2G7B63FOSFZJZ,B018WSR9N2,"[""Health & Household"",""Vitamins, Minerals & Supplements"",""Essential Fatty Acids"",""Omega Oils"",""Omega-3""]",2023-05-05,2023,5,5,14.39703153988868,True,True,False,"['""Health & Household""', '""Vitamins', ' Minerals & Supplements""', '""Essential Fatty Acids""', '""Omega Oils""', '""Omega-3""']",Health & Household,Vitamins
